Thickness,SiteNum,Episode
1.9,1,Arm
2,1,Arm
3.1,1,Arm
2.9,1,Arm
2.8,1,Arm
3,1,Arm
3,1,Arm
3.1,1,Arm
4.1,1,Arm
1.7,1,Arm
1.7,1,Arm
2.1,1,Arm
2.2,1,Arm
2,1,Arm
1.9,1,Arm
2.2,1,Arm
1.1,1,Arm
1.7,1,Arm
4.2,1,Arm
2.8,1,Arm
2,1,Arm
2.8,1,Arm
2.6,1,Arm
3.3,1,Arm
3.7,1,Arm
2.1,1,Arm
2.6,1,Arm
3.4,1,Arm
3.9,1,Arm
1.3,1,Arm
1.3,1,Arm
2.1,1,Arm
2.2,1,Arm
2.8,1,Arm
0.7,1,Arm
3.1,1,Arm
3,1,Arm
1,1,Arm
2.8,1,Arm
1.2,1,Arm
1.7,1,Arm
0.5,1,Arm
2.8,1,Arm
3.1,1,Arm
1.9,1,Arm
2.5,1,Arm
3,1,Arm
2.8,1,Arm
1.3,1,Arm
2.3,1,Arm
3.1,2,Arm
0.5,2,Arm
0.9,2,Arm
0.4,2,Arm
0.6,2,Arm
1,2,Arm
0.8,2,Arm
1.1,2,Arm
0.9,2,Arm
0.9,2,Arm
0.3,2,Arm
1.1,2,Arm
1.2,2,Arm
1.9,2,Arm
1.1,2,Arm
1.5,2,Arm
1.9,2,Arm
0.8,2,Arm
0.7,2,Arm
0.8,2,Arm
0.8,2,Arm
1.5,2,Arm
1,2,Arm
0.9,2,Arm
0.9,2,Arm
0.5,2,Arm
0.5,2,Arm
0.4,2,Arm
1,2,Arm
0.5,2,Arm
1,2,Arm
1.4,2,Arm
0.6,2,Arm
0.7,2,Arm
1,2,Arm
0.3,2,Arm
0.6,2,Arm
0.8,2,Arm
0.8,2,Arm
0.9,2,Arm
0.8,2,Arm
0.4,2,Arm
1,2,Arm
0.5,2,Arm
0.8,2,Arm
0.4,2,Arm
0.3,2,Arm
0.6,2,Arm
0.8,2,Arm
0.9,2,Arm
1.3,3,Arm
0.5,3,Arm
1,3,Arm
0.9,3,Arm
1,3,Arm
1.1,3,Arm
0.8,3,Arm
0.8,3,Arm
1,3,Arm
0.5,3,Arm
2,3,Arm
0.9,3,Arm
0.8,3,Arm
0.5,3,Arm
0.7,3,Arm
0.9,3,Arm
0.8,3,Arm
0.4,3,Arm
1,3,Arm
1.1,3,Arm
0.9,3,Arm
0.7,3,Arm
0.2,3,Arm
0.4,3,Arm
0.4,3,Arm
1,3,Arm
0.5,3,Arm
0.2,3,Arm
0.4,3,Arm
0.2,3,Arm
0.7,3,Arm
0.4,3,Arm
0.8,3,Arm
0.9,3,Arm
0.6,3,Arm
1,3,Arm
1,3,Arm
0.9,3,Arm
0.5,3,Arm
0.6,3,Arm
1,3,Arm
1.1,3,Arm
0.9,3,Arm
1,3,Arm
0.2,3,Arm
0.4,3,Arm
0.5,3,Arm
0.7,3,Arm
0.7,3,Arm
0.6,3,Arm
0.2,4,Croesus
0.4,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.3,4,Croesus
0.2,4,Croesus
0.8,4,Croesus
0.5,4,Croesus
0.6,4,Croesus
0.5,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.6,4,Croesus
0.2,4,Croesus
0.5,4,Croesus
0.5,4,Croesus
0.4,4,Croesus
0.2,4,Croesus
0.4,4,Croesus
0.4,4,Croesus
0.5,4,Croesus
0.4,4,Croesus
0.5,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.5,4,Croesus
0.5,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.4,4,Croesus
0.4,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.5,4,Croesus
0.5,4,Croesus
0.5,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
0.5,4,Croesus
0.2,4,Croesus
0.5,4,Croesus
0.2,4,Croesus
0.2,4,Croesus
1.8,5,Arm
1.9,5,Arm
0.9,5,Arm
0.9,5,Arm
0.8,5,Arm
0.9,5,Arm
1,5,Arm
0.7,5,Arm
0.6,5,Arm
0.5,5,Arm
0.6,5,Arm
0.9,5,Arm
0.9,5,Arm
0.8,5,Arm
0.5,5,Arm
0.9,5,Arm
0.9,5,Arm
0.9,5,Arm
0.2,5,Arm
0.2,5,Arm
0.2,5,Arm
0.5,5,Arm
0.5,5,Arm
0.2,5,Arm
0.5,5,Arm
0.5,5,Arm
0.2,5,Arm
1,5,Arm
0.9,5,Arm
0.9,5,Arm
0.2,5,Arm
0.9,5,Arm
0.9,5,Arm
0.8,5,Arm
0.2,5,Arm
0.5,5,Arm
0.5,5,Arm
0.5,5,Arm
1,5,Arm
1,5,Arm
1.1,5,Arm
0.8,5,Arm
0.5,5,Arm
0.5,5,Arm
0.9,5,Arm
0.5,5,Arm
1,5,Arm
1,5,Arm
0.5,5,Arm
0.8,5,Arm
11.1,6,Rowallan
10.3,6,Rowallan
11.2,6,Rowallan
12,6,Rowallan
11.3,6,Rowallan
10.1,6,Rowallan
13.5,6,Rowallan
12,6,Rowallan
8.5,6,Rowallan
9.8,6,Rowallan
9,6,Rowallan
10.2,6,Rowallan
11.2,6,Rowallan
12.1,6,Rowallan
7.1,6,Rowallan
6.8,6,Rowallan
5.2,6,Rowallan
3.1,6,Rowallan
8.5,6,Rowallan
7.1,6,Rowallan
10.5,6,Rowallan
6.3,6,Rowallan
8.2,6,Rowallan
12.6,6,Rowallan
16.2,6,Rowallan
16.8,6,Rowallan
12.1,6,Rowallan
9,6,Rowallan
7.9,6,Rowallan
8,6,Rowallan
9.9,6,Rowallan
11.2,6,Rowallan
11.8,6,Rowallan
8.8,6,Rowallan
13.4,6,Rowallan
7.5,6,Rowallan
8.2,6,Rowallan
8.5,6,Rowallan
12.6,6,Rowallan
13.4,6,Rowallan
11.2,6,Rowallan
14.1,6,Rowallan
14.2,6,Rowallan
13.8,6,Rowallan
